,COMB.N0000.LK,COMB.N0000.LK,COMB.N0000.LK,COMB.N0000.LK,COMB.N0000.LK,COMB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-21,89.52,89.92,88.71,89.18,89.18,15161,154.72,155.96,153.09,153.87,153.87,31598,60.91,61.22,60.73,60.91,60.91,120346,68.31,69.19,67.86,68.33,68.33,40178,72.79,73.37,71.95,72.48,72.48,154419,49.39,50.01,49.05,49.89,49.89,33472
2024-03-22,89.38,93.77,86.25,86.85,86.85,111476,153.05,161.49,150.33,158.79,158.79,130647,60.4,61.13,58.75,60.11,60.11,163853,68.16,69.02,66.79,68.01,68.01,126619,73.04,74.29,72.09,74.1,74.1,45977,49.69,50.22,48.96,49.54,49.54,128203
2024-03-23,87.14,93.4,85.64,87.02,87.02,179601,158.68,163.55,146.76,153.82,153.82,167317,59.83,61.02,56.04,57.69,57.69,43799,67.88,68.19,67.79,67.94,67.94,187673,74.0,76.63,69.21,72.26,72.26,149781,49.29,51.26,48.09,51.17,51.17,28177
2024-03-24,87.86,93.91,85.66,89.68,89.68,51061,154.93,157.76,153.29,156.01,156.01,86275,57.72,57.75,55.07,56.72,56.72,22235,68.01,68.65,67.45,68.13,68.13,174100,71.73,72.28,71.67,71.95,71.95,173530,50.79,51.55,50.48,51.13,51.13,84793
2024-03-25,90.18,90.81,89.58,90.71,90.71,159764,156.99,159.59,152.59,156.47,156.47,199908,56.4,56.53,55.26,56.53,56.53,123226,67.94,68.92,67.39,68.35,68.35,195752,71.8,72.02,70.59,70.63,70.63,177771,51.4,53.63,50.63,52.78,52.78,39273
2024-03-26,91.14,93.26,88.19,92.94,92.94,174155,156.75,162.32,149.49,160.84,160.84,167806,56.83,60.55,51.4,55.58,55.58,44142,68.46,70.36,67.75,68.1,68.1,13592,70.52,72.35,68.5,71.63,71.63,24500,52.78,52.9,52.3,52.34,52.34,112272
2024-03-27,92.9,93.25,88.71,92.9,92.9,138947,161.06,162.94,156.77,158.78,158.78,137001,56.05,57.59,55.33,56.18,56.18,102494,68.01,68.97,67.8,68.27,68.27,105258,71.73,72.41,69.12,71.84,71.84,79075,52.7,53.61,52.49,53.47,53.47,119314
2024-03-28,92.77,92.84,89.2,91.26,91.26,100833,158.28,159.2,157.63,158.5,158.5,45558,55.86,57.8,54.55,57.2,57.2,67995,68.15,69.02,67.47,68.85,68.85,121721,71.86,73.1,68.63,72.52,72.52,102874,53.36,54.73,53.3,54.23,54.23,109343
2024-03-29,91.06,93.0,86.49,88.25,88.25,56895,158.42,161.93,152.02,152.18,152.18,51018,57.49,60.05,54.67,55.16,55.16,112171,69.38,69.82,68.96,69.54,69.54,195950,72.93,74.96,66.48,73.34,73.34,172359,54.31,57.78,52.14,56.66,56.66,124368
2024-03-30,87.96,91.86,87.86,91.63,91.63,132471,152.59,166.7,149.03,160.0,160.0,185345,55.04,58.26,54.99,55.53,55.53,177973,69.19,70.56,65.46,67.39,67.39,74833,73.72,74.15,69.54,70.82,70.82,86418,56.95,57.7,55.13,56.75,56.75,15105
2024-03-31,91.89,95.97,85.85,90.53,90.53,64847,159.81,163.35,157.67,159.26,159.26,13422,55.72,58.57,54.66,57.39,57.39,86483,67.47,68.81,65.24,68.53,68.53,184062,71.01,71.86,66.53,67.86,67.86,93286,57.37,57.41,56.69,56.86,56.86,51358
2024-04-01,90.23,90.27,89.18,89.88,89.88,35252,160.49,165.2,160.36,163.2,163.2,90024,57.59,60.23,56.04,57.24,57.24,153826,68.66,69.73,66.16,67.37,67.37,157087,67.55,72.09,65.66,71.03,71.03,87218,56.79,56.93,56.09,56.62,56.62,74112
2024-04-02,89.58,94.69,88.49,91.14,91.14,65799,164.39,167.11,164.09,164.58,164.58,172870,57.04,58.31,56.51,57.63,57.63,110617,67.66,68.85,64.83,68.41,68.41,127915,70.66,71.76,66.18,68.54,68.54,127686,56.78,57.97,54.93,55.16,55.16,112067
2024-04-03,91.48,93.85,91.37,93.07,93.07,81680,164.12,169.48,162.54,165.94,165.94,73640,57.55,58.66,56.67,57.58,57.58,82535,68.36,70.13,67.81,68.51,68.51,101886,68.46,68.77,66.12,67.84,67.84,116735,54.76,57.85,52.4,53.04,53.04,168382
2024-04-04,93.49,100.83,92.86,99.57,99.57,106612,165.47,167.8,164.75,165.45,165.45,45599,57.96,58.5,56.46,57.44,57.44,156682,69.42,70.57,68.99,70.16,70.16,131276,67.85,68.39,65.53,67.25,67.25,104026,52.82,53.66,52.68,53.23,53.23,87344
2024-04-05,98.79,99.03,98.05,98.89,98.89,194373,166.05,167.29,164.68,166.07,166.07,22898,57.52,58.35,56.66,57.8,57.8,110286,70.24,72.07,67.39,70.07,70.07,36595,67.71,69.63,62.08,63.75,63.75,138638,52.8,54.57,51.7,51.95,51.95,148783
2024-04-06,98.6,100.07,94.57,95.72,95.72,178573,166.0,169.36,165.28,167.69,167.69,108591,57.88,58.2,56.42,56.95,56.95,29713,69.67,71.95,67.08,67.54,67.54,173297,63.53,64.54,63.34,64.44,64.44,14465,51.88,56.58,49.65,52.4,52.4,65815
2024-04-07,95.37,95.37,94.26,94.92,94.92,19535,167.93,179.02,162.62,167.31,167.31,140214,56.71,61.68,54.86,59.08,59.08,133687,67.92,67.93,66.88,67.84,67.84,87317,64.6,65.71,63.0,63.72,63.72,15562,52.65,54.63,52.21,52.6,52.6,16865
2024-04-08,96.16,99.03,92.43,97.62,97.62,137852,167.46,172.39,165.68,171.46,171.46,189003,58.99,59.34,57.4,58.53,58.53,64114,67.89,70.92,66.97,67.7,67.7,135125,63.49,65.24,60.52,62.7,62.7,112296,52.67,55.17,51.82,52.28,52.28,14195
2024-04-09,97.84,98.84,96.86,98.55,98.55,17060,169.98,178.97,167.81,176.43,176.43,127070,58.64,59.92,56.45,57.39,57.39,25276,68.36,72.08,65.87,67.77,67.77,168650,62.7,65.29,61.45,63.1,63.1,14605,52.14,54.38,51.98,53.23,53.23,25926
2024-04-10,98.68,99.47,91.28,95.88,95.88,114606,177.05,182.1,172.6,179.53,179.53,39521,57.69,58.26,55.54,57.02,57.02,145207,68.23,69.25,66.48,68.64,68.64,52477,62.57,65.8,61.93,64.17,64.17,33523,53.46,56.37,51.97,52.09,52.09,19207
2024-04-11,96.43,98.22,89.56,97.48,97.48,41972,181.64,183.84,173.62,180.2,180.2,135619,57.2,57.95,54.24,56.39,56.39,118870,68.34,70.51,67.26,70.09,70.09,183669,64.42,64.7,63.57,63.93,63.93,63220,52.2,58.63,49.81,50.32,50.32,164841
2024-04-12,96.88,97.19,89.62,93.03,93.03,39441,180.69,180.99,175.94,178.78,178.78,129053,56.65,58.11,56.44,56.6,56.6,77738,70.08,72.17,66.49,68.59,68.59,95450,64.57,64.73,62.8,64.13,64.13,30210,50.31,58.55,48.11,56.01,56.01,184345
2024-04-13,93.57,94.52,90.64,93.89,93.89,51360,178.53,179.34,174.46,176.56,176.56,123923,57.18,58.48,54.93,56.06,56.06,144977,68.41,73.18,64.66,65.28,65.28,107345,64.86,66.75,62.66,64.68,64.68,99270,56.07,57.26,53.53,56.55,56.55,52757
2024-04-14,94.02,94.64,91.72,94.25,94.25,132631,175.54,178.81,171.44,171.79,171.79,118329,56.15,59.79,53.59,53.71,53.71,73106,65.23,73.92,62.34,63.26,63.26,89471,64.12,66.51,63.24,64.55,64.55,57556,56.66,56.98,55.57,55.88,55.88,175319
2024-04-15,94.75,96.62,93.12,93.36,93.36,197024,171.44,184.83,168.8,169.69,169.69,84708,53.93,55.9,53.61,55.01,55.01,132131,63.55,71.62,62.49,67.9,67.9,168743,64.16,65.26,61.67,64.93,64.93,176017,55.86,58.1,54.88,56.98,56.98,31625
